0 	 0.7163	 
1 	 0.6650	 
2 	 0.6376	 
3 	 0.6183	 
4 	 0.6064	 
5 	 0.5978	 
6 	 0.5895	 
7 	 0.5823	 
8 	 0.5778	 
9 	 0.5732	 
10 	 0.5693	 
11 	 0.5659	 
12 	 0.5616	 
13 	 0.5577	 
14 	 0.5556	 
15 	 0.5517	 
16 	 0.5497	 
17 	 0.5474	 
18 	 0.5435	 
19 	 0.5429	 
20 	 0.5402	 
21 	 0.5378	 
22 	 0.5360	 
23 	 0.5351	 
24 	 0.5322	 
25 	 0.5317	 
26 	 0.5283	 
27 	 0.5276	 
28 	 0.5251	 
29 	 0.5232	 
30 	 0.5226	 
31 	 0.5215	 
32 	 0.5201	 
33 	 0.5186	 
34 	 0.5153	 
35 	 0.5147	 
36 	 0.5124	 
37 	 0.5107	 
38 	 0.5105	 
39 	 0.5100	 
40 	 0.5099	 
41 	 0.5087	 
42 	 0.5077	 
43 	 0.5057	 
44 	 0.5052	 
45 	 0.5029	 
46 	 0.5006	 
47 	 0.4994	 
48 	 0.4987	 
49 	 0.4979	 
50 	 0.4991	 
51 	 0.4975	 
52 	 0.4965	 
53 	 0.4944	 
54 	 0.4932	 
55 	 0.4920	 
56 	 0.4901	 
57 	 0.4887	 
58 	 0.4878	 
59 	 0.4882	 
60 	 0.4853	 
61 	 0.4855	 
62 	 0.4856	 
63 	 0.4843	 
64 	 0.4824	 
65 	 0.4810	 
66 	 0.4796	 
67 	 0.4779	 
68 	 0.4765	 
69 	 0.4762	 
70 	 0.4746	 
71 	 0.4720	 
72 	 0.4702	 
73 	 0.4712	 
74 	 0.4691	 
75 	 0.4664	 
76 	 0.4631	 
77 	 0.4624	 
78 	 0.4604	 
79 	 0.4590	 
80 	 0.4573	 
81 	 0.4554	 
82 	 0.4533	 
83 	 0.4509	 
84 	 0.4490	 
85 	 0.4453	 
86 	 0.4433	 
87 	 0.4415	 
88 	 0.4378	 
89 	 0.4321	 
90 	 0.4278	 
91 	 0.4220	 
92 	 0.4164	 
93 	 0.4080	 
94 	 0.3999	 
95 	 0.3901	 
96 	 0.3763	 
97 	 0.3595	 
98 	 0.3322	 
99 	 0.2807	 
