0 	 0.5962	0.0045	 
1 	 0.6645	0.0042	 
2 	 0.7036	0.0044	 
3 	 0.7306	0.0032	 
4 	 0.7490	0.0045	 
5 	 0.7607	0.0045	 
6 	 0.7691	0.0058	 
7 	 0.7736	0.0066	 
8 	 0.7728	0.0050	 
9 	 0.7820	0.0054	 
10 	 0.7826	0.0041	 
11 	 0.7826	0.0040	 
12 	 0.7883	0.0046	 
13 	 0.7921	0.0033	 
14 	 0.7890	0.0048	 
15 	 0.7893	0.0039	 
16 	 0.7875	0.0056	 
17 	 0.7948	0.0051	 
18 	 0.7921	0.0063	 
19 	 0.7945	0.0042	 
20 	 0.7941	0.0055	 
21 	 0.7948	0.0052	 
22 	 0.7899	0.0055	 
23 	 0.7939	0.0061	 
24 	 0.7894	0.0030	 
25 	 0.7905	0.0053	 
26 	 0.7925	0.0059	 
27 	 0.7903	0.0057	 
28 	 0.7896	0.0040	 
29 	 0.7867	0.0057	 
30 	 0.7869	0.0071	 
31 	 0.7879	0.0055	 
32 	 0.7895	0.0069	 
33 	 0.7892	0.0046	 
34 	 0.7917	0.0051	 
35 	 0.7927	0.0046	 
36 	 0.7934	0.0070	 
37 	 0.7918	0.0037	 
38 	 0.7936	0.0064	 
39 	 0.7902	0.0051	 
40 	 0.7909	0.0055	 
41 	 0.7886	0.0057	 
42 	 0.7912	0.0048	 
43 	 0.7952	0.0049	 
44 	 0.7913	0.0054	 
45 	 0.7920	0.0059	 
46 	 0.7921	0.0076	 
47 	 0.7954	0.0068	 
48 	 0.7942	0.0057	 
49 	 0.7934	0.0068	 
50 	 0.7930	0.0050	 
51 	 0.7894	0.0078	 
52 	 0.7896	0.0062	 
53 	 0.7872	0.0065	 
54 	 0.7904	0.0062	 
55 	 0.7885	0.0065	 
56 	 0.7921	0.0064	 
57 	 0.7908	0.0070	 
58 	 0.7882	0.0062	 
59 	 0.7924	0.0060	 
60 	 0.7919	0.0073	 
61 	 0.7891	0.0069	 
62 	 0.7867	0.0046	 
63 	 0.7898	0.0062	 
64 	 0.7891	0.0057	 
65 	 0.7927	0.0083	 
66 	 0.7885	0.0054	 
67 	 0.7880	0.0072	 
68 	 0.7919	0.0056	 
69 	 0.7907	0.0066	 
70 	 0.7940	0.0069	 
71 	 0.7955	0.0065	 
72 	 0.7930	0.0071	 
73 	 0.7881	0.0076	 
74 	 0.7883	0.0072	 
75 	 0.7897	0.0099	 
76 	 0.7934	0.0076	 
77 	 0.7924	0.0079	 
78 	 0.7903	0.0071	 
79 	 0.7896	0.0070	 
80 	 0.7839	0.0045	 
81 	 0.7903	0.0070	 
82 	 0.7891	0.0066	 
83 	 0.7899	0.0071	 
84 	 0.7915	0.0075	 
85 	 0.7937	0.0067	 
86 	 0.7900	0.0064	 
87 	 0.7911	0.0073	 
